mmsi,speed,course,nav_status,rot,pos_accuracy,raim,heading,timestamp,timestamp_external,latitude,longitude
235029263,3.1,188.8,8,0,False,False,511,0,1721209696037,59.49032,24.746058
305371000,0.0,249.0,5,0,False,False,225,16,1739194224532,59.459333,24.708333
253736000,6.4,262.0,0,-127,False,False,264,60,1601914877985,59.504333,24.554667
230192000,0.0,184.0,15,-128,True,False,511,25,1739194225364,60.47129,26.946935
375581000,0.0,360.0,5,0,True,True,246,33,1558079373255,59.458153,24.705098
970222297,102.2,132.1,15,-128,False,False,511,62,1609519523648,63.583383,20.449067
983542158,0.0,360.0,0,-128,True,True,511,13,1689322874035,59.451008,24.765422
230022000,0.0,91.8,0,0,True,True,103,7,1610609288326,59.86361,23.23076
636092012,0.0,272.9,5,0,True,False,44,15,1674898696338,59.461973,24.713213
230118060,24.8,170.5,0,-128,True,True,511,9,1601707749855,59.847477,23.319568
230116610,27.1,269.0,0,0,True,False,269,15,1645430596065,59.879175,23.276188
255804760,0.1,226.0,1,6,True,False,315,39,1739194182231,60.19045,26.353017
636018645,0.0,321.2,5,0,False,False,317,56,1699993317573,59.503778,24.997653
231260000,0.0,265.6,5,0,True,True,49,6,1560170826135,60.434433,22.232117
230015790,0.0,281.5,0,-128,False,True,511,51,1632002750946,59.58695,25.614528
230310000,0.0,347.0,15,-128,False,True,511,7,1707917887995,60.16624,24.705705
230992250,0.0,58.4,0,0,True,False,244,22,1739194221561,60.117102,20.295118
230012470,0.0,64.6,5,-128,False,True,511,52,1566385791973,60.406553,26.251235
230939640,0.0,212.7,15,0,True,False,124,8,1725985149203,59.810602,22.914125
210097000,102.3,360.0,4,-128,False,False,511,32,1714991246854,60.406717,26.251983
355065000,0.0,17.8,0,-128,True,False,511,47,1582708669422,59.450992,24.669703
305675000,0.0,104.0,5,0,True,True,28,18,1551683240844,59.460802,24.651547
230038800,0.0,120.6,0,0,True,False,228,50,1734502789787,60.147312,24.921095
230939840,32.2,350.7,15,127,True,False,350,49,1621339789305,63.867687,23.007627
232042134,0.0,307.4,15,-128,True,True,511,44,1721898824271,59.557437,24.553435
230997340,30.0,22.3,0,-11,True,False,22,15,1732113736143,60.326787,22.061843
374855000,0.0,197.1,5,-1,True,False,134,16,1739194156046,59.459622,24.651075
314493000,0.1,269.0,5,0,True,False,246,7,1591874709544,59.458,24.704667
230128770,0.0,85.7,0,0,True,False,147,7,1739194225605,60.205815,20.27724
311645000,12.2,239.9,0,0,True,False,239,28,1635071608069,59.519248,22.557423
372119000,10.8,67.3,0,0,True,False,68,18,1739194225557,59.898327,26.134505
219024524,0.0,0.0,15,0,False,False,75,52,1547188014458,60.366538,25.589492
230024450,0.2,3.9,0,-5,True,False,129,58,1731052619054,60.389187,22.08676
265652480,0.0,0.0,5,0,False,False,215,1,1598514844622,63.08135,21.570968
276999990,10.0,81.0,0,0,False,False,81,60,1719481795998,59.587133,26.706715
212946000,0.0,322.8,5,0,False,False,137,51,1570777610959,59.459943,24.650767
276015540,0.0,268.7,0,-128,False,False,511,26,1739194226144,59.45513,24.738005
230997240,16.1,65.4,0,9,True,False,66,8,1738053909097,60.145212,25.330753
230997540,10.1,174.4,0,0,True,False,178,37,1732352977840,60.013658,22.799433
276837000,0.0,289.9,5,-128,False,False,511,0,1739193962263,59.457028,24.656088
299999911,0.0,235.4,15,0,True,False,284,44,1540201127418,60.166278,24.705593
229667000,0.0,300.0,1,0,True,False,289,42,1739194183632,59.839433,25.833987
357449000,11.6,257.0,0,0,False,False,256,55,1624718635166,59.8552,25.0227
230041310,0.0,144.9,15,0,True,False,234,20,1625052440087,60.4543,22.034428
234569000,23.2,196.9,0,0,False,False,197,3,1697979544764,59.4698,21.212467
236111951,0.0,295.3,5,-128,False,False,511,12,1637657472072,59.456655,24.704645
230656000,0.0,61.6,5,0,False,True,157,41,1567333422413,61.597402,21.46943
256074000,0.0,360.0,5,0,False,False,2,19,1546160061381,59.464498,24.647775
246230000,0.0,0.0,5,0,True,False,255,12,1548768255779,59.458987,24.715333
230116670,24.6,8.7,0,-127,True,False,9,1,1713966842189,60.05173,21.974453
230047540,0.0,82.8,5,0,True,False,262,21,1729418001525,61.746235,25.263182
990099009,0.0,27.5,15,-128,False,True,511,24,1568554043873,59.499413,24.814158
230157780,0.0,2.4,5,0,True,False,175,27,1730180908117,59.900988,23.268202
566838000,0.0,242.4,5,0,False,False,121,21,1669278262309,64.679578,21.246235
230117960,0.0,158.0,5,0,True,False,231,1,1678801922466,59.863885,23.234612
304958000,0.0,360.0,5,0,False,True,331,19,1739193979565,59.453047,24.662907
244741000,0.0,179.1,5,0,False,False,346,15,1628669537805,59.450203,24.670197
233303000,11.5,283.0,0,0,True,False,282,8,1562398867653,59.665332,24.469158
305674000,0.0,85.2,5,0,False,False,124,28,1547646152894,59.460137,24.657375
219024674,0.0,213.4,5,0,True,False,120,48,1556867149326,60.357157,25.642198
230111580,0.9,360.0,0,-128,False,True,511,58,1730916239095,61.129353,21.453
222222222,0.0,0.0,5,-128,False,False,511,47,1579598867892,59.43323,24.828855
230992370,0.0,52.6,0,0,True,False,232,53,1737459232413,59.901855,23.262938
235081933,0.0,238.2,5,0,False,False,59,55,1714557656270,59.455383,24.7017
273351510,0.0,360.0,5,0,True,True,246,44,1552329707122,59.458182,24.709433
376317000,0.0,198.5,5,0,False,False,59,10,1615191730767,59.455433,24.701783
230942510,0.0,199.7,0,8,True,False,283,6,1723817047379,60.599428,21.251658
230996510,0.0,290.6,0,-128,True,True,511,5,1705480686249,63.838447,23.033752
229000922,12.5,181.9,15,127,False,False,174,26,1562570545751,59.413843,23.080403
219024727,0.0,347.3,5,0,True,False,110,18,1557927619914,60.357162,25.642192
228739000,0.0,0.0,5,-128,False,False,0,49,1716121730382,59.448278,24.769283
257999279,0.0,357.6,15,128,True,True,245,56,1547212501607,60.438105,26.917273
230117910,0.0,276.5,0,0,True,False,188,33,1723100434881,59.8408,23.323347
255806297,12.2,286.8,0,10,False,False,287,22,1684862124287,59.570582,21.335228
353969000,0.0,116.2,5,0,False,False,299,56,1540988399651,59.465242,24.649757
538005263,0.0,187.0,15,-128,False,False,511,30,1715819025003,59.8304,25.764017
314188000,0.0,320.2,5,0,False,False,223,4,1729490105303,59.459312,24.70819
636091531,10.6,96.4,0,0,False,False,95,47,1709769270826,60.363792,26.907048
230291000,0.0,212.8,5,0,True,False,243,34,1739194115000,60.169027,24.97122
250005054,0.0,141.0,5,0,True,False,141,49,1603108012058,59.455448,24.665852
412011111,14.1,261.2,0,-128,True,True,511,53,1564419234065,60.006953,26.49454
319068100,0.0,102.5,0,0,True,False,209,44,1567784865411,60.152897,24.924273
230997560,10.3,54.9,0,0,True,False,55,52,1731010553013,59.79497,23.05628
230111670,14.6,70.9,5,-128,False,False,511,5,1574836559418,60.34098,26.431707
325141700,0.0,127.1,5,0,False,False,208,14,1737449296421,60.152805,24.924187
273542630,0.1,170.5,0,-128,False,False,511,1,1563291721227,60.130272,26.979525
230116660,15.5,330.2,0,0,True,False,329,33,1719825273463,59.862307,23.25941
234638000,13.1,338.5,0,0,True,False,339,42,1544951806309,59.598688,24.687558
538090304,0.0,200.0,5,0,True,False,318,54,1560248516251,60.418333,26.915
276869000,0.0,346.6,5,0,True,False,165,45,1739194128142,59.45884,24.71611
636017464,0.0,90.0,5,0,False,False,138,40,1603548039596,59.504162,24.99697
209810000,0.0,181.2,0,0,False,False,169,6,1557470286250,60.407135,26.252373
276010230,2.8,360.0,5,-128,False,False,511,30,1721100630713,59.64745,25.754353
370743000,0.0,360.0,2,-128,True,False,511,11,1553588171818,59.458248,24.709447
230116640,0.0,180.1,5,0,True,False,53,5,1660393865712,59.863918,23.233967
219024855,0.0,0.0,15,0,False,False,115,27,1566972748549,60.357227,25.641923
538090268,0.0,182.0,5,0,False,False,260,36,1560428558392,61.130617,21.429113
231262000,0.1,338.7,5,0,True,True,229,52,1560171654373,60.434218,22.231565
230168040,0.0,143.9,0,0,False,False,284,25,1727966365651,61.126487,21.449347
987654321,0.0,0.0,5,-128,False,False,511,39,1617098382946,59.441767,24.76757
371602000,11.4,255.5,0,0,False,False,254,41,1567784861105,59.709682,23.800437
563067400,0.1,357.9,5,-7,True,False,281,27,1607339430394,59.49435,24.956462
230116680,29.6,70.7,0,0,True,False,70,47,1713985368300,60.269792,21.94855
235090599,0.0,360.0,0,0,False,False,221,47,1737562367728,59.515603,25.09951
235008930,0.0,360.0,0,-128,True,True,511,29,1737560969443,59.515393,25.099708
375258000,0.0,342.0,5,128,False,True,511,55,1548318658812,59.459317,24.703805
230176390,0.0,360.0,15,-128,True,True,511,19,1706191219725,61.135517,21.47606
230111111,0.0,304.9,5,0,False,False,240,36,1604593359097,62.95333,21.553265
230030000,25.9,222.9,0,-127,True,False,224,30,1693734151962,59.81026,22.927108
316143000,16.5,233.3,0,0,False,False,231,34,1635885095213,59.478373,22.435658
566917000,13.5,257.0,0,0,True,False,258,38,1568145458886,59.830917,24.823517
355724000,0.0,41.4,5,0,False,False,352,40,1555407041544,59.450948,24.670005
250016000,0.0,295.7,0,0,False,True,207,60,1557818964174,59.458575,24.659908
265831000,5.1,16.5,0,0,False,True,18,20,1558040959967,63.831677,20.837348
230157020,0.4,317.4,0,-128,False,False,511,56,1662886206265,60.148415,24.783795
230939810,0.0,264.9,0,0,False,False,266,0,1709973900068,59.92976,20.859673
605041230,15.2,278.5,0,0,True,True,271,20,1628172740294,60.005727,26.880308
244302000,0.0,16.9,5,-128,False,False,511,41,1555488641439,59.458908,24.658917
249110002,0.1,77.0,8,-128,False,True,511,31,1566957330920,59.88733,26.850218
230028850,0.0,296.1,5,-128,False,True,511,29,1734370768489,60.105128,19.946093
257100000,0.0,271.5,5,1,True,False,274,42,1608040724019,60.450977,22.036228
211211840,13.1,256.6,0,-127,True,False,257,22,1713196883757,59.824082,24.708003
230125060,17.3,277.7,0,-128,True,True,511,20,1725564141253,60.090472,24.881558
230115770,0.0,233.5,0,-128,False,True,511,11,1734438012088,63.08066,21.574322
230986590,0.0,67.9,0,0,False,False,135,41,1596637660751,59.454793,24.73925
341693000,0.0,289.5,5,0,False,False,207,53,1549964816572,59.457138,24.70317
352004770,13.2,72.7,0,0,False,False,74,23,1739194223157,59.570302,23.485963
211219560,0.1,360.0,5,-128,True,True,511,20,1561700000673,60.316263,22.31398
246190000,0.0,285.5,5,0,True,False,254,63,1547636726726,59.45901,24.715317
230014000,0.2,216.1,0,23,True,False,190,26,1736157386611,59.863717,24.588803
230641000,0.0,318.0,2,0,False,False,165,49,1601378091077,64.656767,24.40765
219024729,0.0,103.0,15,0,True,False,115,38,1566983739729,60.357162,25.642185
372811000,11.1,232.2,0,0,False,False,230,29,1728289769008,59.462943,22.421972
246646000,0.0,253.0,5,0,False,False,253,16,1655979138125,59.458713,24.713743
230981210,0.1,337.3,0,0,False,False,284,60,1723800500843,64.220517,23.717367
276456000,0.0,255.7,0,1,True,True,59,30,1597044091116,59.455417,24.701283
211814400,0.0,360.0,0,0,True,True,173,44,1637743844452,63.68116,20.333427
230070680,0.0,0.0,0,-128,False,True,511,7,1610781068263,60.209022,25.189857
304010302,0.0,222.6,5,0,False,False,222,2,1600336262105,60.473832,26.949412
277577000,0.0,116.5,0,0,True,False,127,48,1663577389678,60.432132,26.651923
230304000,8.2,78.9,0,4,True,False,79,17,1737993617727,59.645918,22.806178
230325000,0.0,0.0,5,-128,True,False,511,1,1557997442451,60.454592,22.03419
276007320,4.7,134.4,0,0,True,False,178,15,1738772956526,59.70962,24.466043
304786000,0.0,300.0,5,0,False,False,302,53,1576825553798,59.464915,24.651223
248145000,0.0,42.9,5,-128,True,False,511,46,1687428408556,59.462102,24.713153
276675000,0.1,221.5,0,0,True,False,192,24,1739194225219,59.457582,24.719545
373663000,0.0,210.8,5,0,True,False,111,51,1739194135737,61.127167,21.426697
230002000,8.6,77.4,0,0,True,False,75,21,1739194223012,59.540982,22.41047
239039000,0.0,48.6,5,0,False,True,105,24,1589355564384,63.843762,23.019838
305706000,0.0,358.8,5,0,True,False,122,46,1597123432725,59.462488,24.650253
